timestamp,price,volume
29.11.2017 03:00:00,9896.79000000,13352.53871500
30.11.2017 03:00:00,9687.88000000,9389.57432900
01.12.2017 03:00:00,9837.00000000,6134.92363300
02.12.2017 03:00:00,10775.04000000,4765.43975700
03.12.2017 03:00:00,10902.69000000,5346.63652400
04.12.2017 03:00:00,11165.41000000,4663.42456200
05.12.2017 03:00:00,11571.03000000,5550.73205500
06.12.2017 03:00:00,11699.99000000,6707.94631900
07.12.2017 03:00:00,13541.01000000,7487.06569500
08.12.2017 03:00:00,16599.00000000,17589.01313600
09.12.2017 03:00:00,15880.01000000,13918.75868700
10.12.2017 03:00:00,14664.01000000,16553.03717300
11.12.2017 03:00:00,14946.26000000,11820.40176200
12.12.2017 03:00:00,16587.97000000,9436.80241100
13.12.2017 03:00:00,16349.99000000,12416.32880100
14.12.2017 03:00:00,16030.34000000,11616.86715100
15.12.2017 03:00:00,16334.98000000,9181.27394700
16.12.2017 03:00:00,17516.81000000,4202.62870900
17.12.2017 03:00:00,19120.19000000,9177.18343400
18.12.2017 03:00:00,18860.04000000,10624.63307100
19.12.2017 03:00:00,18856.25000000,13210.74822000
20.12.2017 03:00:00,17295.20000000,13450.49669300
21.12.2017 03:00:00,16480.52000000,20324.21730000
22.12.2017 03:00:00,15514.03000000,36076.27117500
23.12.2017 03:00:00,13326.61000000,13141.53887500
24.12.2017 03:00:00,13300.00000000,28557.53498800
25.12.2017 03:00:00,13500.00000000,15748.20760700
26.12.2017 03:00:00,13699.34000000,15034.66810400
27.12.2017 03:00:00,15709.98000000,14959.86472300
28.12.2017 03:00:00,15459.97000000,21717.85801400
29.12.2017 03:00:00,14199.14000000,18072.00811600
30.12.2017 03:00:00,14378.99000000,19221.15803900
31.12.2017 03:00:00,12345.10000000,11768.98971800
01.01.2018 03:00:00,13715.65000000,8609.91584400
02.01.2018 03:00:00,13382.16000000,20078.09211100
03.01.2018 03:00:00,14690.00000000,15905.66763900
04.01.2018 03:00:00,14919.51000000,21329.64957400
05.01.2018 03:00:00,15059.56000000,23251.49112500
06.01.2018 03:00:00,16960.39000000,18571.45750800
07.01.2018 03:00:00,17069.79000000,12493.12555800
08.01.2018 03:00:00,16218.85000000,26600.60991200
09.01.2018 03:00:00,14902.54000000,14315.00425300
10.01.2018 03:00:00,14401.00000000,17411.00165500
